date	year	month	day	time	hour	minute	second
15-Jan-14	2014	1	15	13:45	13	45	34
15-Jan-14	2014	1	15	22:00	22	0	0
16-Jan-14	2014	1	16	14:45	14	45	34
16-Jan-14	2014	1	16	23:00	23	0	0
17-Jan-14	2014	1	17	15:45	15	45	36
17-Jan-14	2014	1	17	0:00	0	0	0
18-Jan-14	2014	1	18	16:45	16	45	38
18-Jan-14	2014	1	18	1:00	1	0	0
19-Jan-14	2014	1	19	17:45	17	45	40
19-Jan-14	2014	1	19	2:00	2	0	0
20-Jan-14	2014	1	20	18:45	18	45	42
20-Jan-14	2014	1	20	3:00	3	0	0
21-Jan-14	2014	1	21	19:45	19	45	44
21-Jan-14	2014	1	21	4:00	4	0	0
22-Jan-14	2014	1	22	20:45	20	45	46
22-Jan-14	2014	1	22	5:00	5	0	0
23-Jan-14	2014	1	23	21:45	21	45	48
23-Jan-14	2014	1	23	6:00	6	0	0
24-Jan-14	2014	1	24	22:45	22	45	50
24-Jan-14	2014	1	24	7:00	7	0	0
25-Jan-14	2014	1	25	23:45	23	45	52
25-Jan-14	2014	1	25	8:00	8	0	0
26-Jan-14	2014	1	26	0:45	0	45	54
26-Jan-14	2014	1	26	9:00	9	0	0
27-Jan-14	2014	1	27	1:45	1	45	56
27-Jan-14	2014	1	27	10:00	10	0	0
28-Jan-14	2014	1	28	2:45	2	45	58
28-Jan-14	2014	1	28	11:00	11	0	0
29-Jan-14	2014	1	29	3:46	3	46	0
29-Jan-14	2014	1	29	12:00	12	0	0
30-Jan-14	2014	1	30	4:46	4	46	2
30-Jan-14	2014	1	30	13:00	13	0	0
31-Jan-14	2014	1	31	5:46	5	46	4
31-Jan-14	2014	1	31	14:00	14	0	0
01-Feb-14	2014	2	1	6:46	6	46	6
01-Feb-14	2014	2	1	15:00	15	0	0
02-Feb-14	2014	2	2	7:46	7	46	8
02-Feb-14	2014	2	2	16:00	16	0	0
03-Feb-14	2014	2	3	8:46	8	46	10
03-Feb-14	2014	2	3	17:00	17	0	0
04-Feb-14	2014	2	4	9:46	9	46	12
04-Feb-14	2014	2	4	18:00	18	0	0
05-Feb-14	2014	2	5	10:46	10	46	14
05-Feb-14	2014	2	5	19:00	19	0	0
06-Feb-14	2014	2	6	11:46	11	46	16
06-Feb-14	2014	2	6	20:00	20	0	0
07-Feb-14	2014	2	7	12:46	12	46	18
07-Feb-14	2014	2	7	21:00	21	0	0
08-Feb-14	2014	2	8	13:46	13	46	20
08-Feb-14	2014	2	8	22:00	22	0	0
09-Feb-14	2014	2	9	14:46	14	46	22
09-Feb-14	2014	2	9	23:00	23	0	0
10-Feb-14	2014	2	10	15:46	15	46	24
10-Feb-14	2014	2	10	0:00	0	0	0
11-Feb-14	2014	2	11	16:46	16	46	26
11-Feb-14	2014	2	11	1:00	1	0	0
12-Feb-14	2014	2	12	17:46	17	46	28
12-Feb-14	2014	2	12	2:00	2	0	0
13-Feb-14	2014	2	13	18:46	18	46	30
13-Feb-14	2014	2	13	3:00	3	0	0
14-Feb-14	2014	2	14	19:46	19	46	32
14-Feb-14	2014	2	14	4:00	4	0	0
15-Feb-14	2014	2	15	20:46	20	46	34
15-Feb-14	2014	2	15	5:00	5	0	0
16-Feb-14	2014	2	16	21:46	21	46	36
16-Feb-14	2014	2	16	6:00	6	0	0
17-Feb-14	2014	2	17	22:46	22	46	38
17-Feb-14	2014	2	17	7:00	7	0	0
18-Feb-14	2014	2	18	8:00	8	0	0
18-Feb-14	2014	2	18	23:46	23	46	40
19-Feb-14	2014	2	19	22:00	9	0	0
19-Feb-14	2014	2	19	0:46	0	46	42
20-Feb-14	2014	2	20	10:30	10	30	0
20-Feb-14	2014	2	20	1:46	1	46	44
21-Feb-14	2014	2	21	11:30	11	30	0
21-Feb-14	2014	2	21	2:46	2	46	46
22-Feb-14	2014	2	22	12:30	12	30	0
22-Feb-14	2014	2	22	3:46	3	46	48
23-Feb-14	2014	2	23	13:30	13	30	0
23-Feb-14	2014	2	23	4:46	4	46	50
24-Feb-14	2014	2	24	14:30	14	30	0
24-Feb-14	2014	2	24	5:46	5	46	52
25-Feb-14	2014	2	25	15:30	15	30	0
25-Feb-14	2014	2	25	6:46	6	46	54
26-Feb-14	2014	2	26	16:30	16	30	0
26-Feb-14	2014	2	26	7:46	7	46	56
27-Feb-14	2014	2	27	17:30	17	30	0
27-Feb-14	2014	2	27	8:46	8	46	58
28-Feb-14	2014	2	28	18:30	18	30	0
28-Feb-14	2014	2	28	9:47	9	47	0
01-Mar-14	2014	3	1	19:30	19	30	0
01-Mar-14	2014	3	1	10:47	10	47	2
02-Mar-14	2014	3	2	20:30	20	30	0
02-Mar-14	2014	3	2	11:47	11	47	4
03-Mar-14	2014	3	3	21:30	21	30	0
03-Mar-14	2014	3	3	12:47	12	47	6
04-Mar-14	2014	3	4	22:30	22	30	0
04-Mar-14	2014	3	4	13:47	13	47	8
05-Mar-14	2014	3	5	23:30	23	30	0
05-Mar-14	2014	3	5	14:47	14	47	10
06-Mar-14	2014	3	6	0:30	0	30	0
06-Mar-14	2014	3	6	15:47	15	47	12
07-Mar-14	2014	3	7	1:30	1	30	0
07-Mar-14	2014	3	7	16:47	16	47	14
08-Mar-14	2014	3	8	2:30	2	30	0
08-Mar-14	2014	3	8	17:47	17	47	16
09-Mar-14	2014	3	9	3:30	3	30	0
09-Mar-14	2014	3	9	18:47	18	47	18
10-Mar-14	2014	3	10	4:30	4	30	0
10-Mar-14	2014	3	10	19:47	19	47	20
11-Mar-14	2014	3	11	5:30	5	30	0
11-Mar-14	2014	3	11	20:47	20	47	22
12-Mar-14	2014	3	12	6:30	6	30	0
12-Mar-14	2014	3	12	21:47	21	47	24
13-Mar-14	2014	3	13	7:30	7	30	0
13-Mar-14	2014	3	13	22:47	22	47	26
14-Mar-14	2014	3	14	8:30	8	30	0
14-Mar-14	2014	3	14	23:47	23	47	28
15-Mar-14	2014	3	15	9:30	9	30	0
15-Mar-14	2014	3	15	0:47	0	47	30
16-Mar-14	2014	3	16	10:30	10	30	0
16-Mar-14	2014	3	16	1:47	1	47	32
17-Mar-14	2014	3	17	11:30	11	30	0
17-Mar-14	2014	3	17	2:47	2	47	34
18-Mar-14	2014	3	18	12:30	12	30	0
18-Mar-14	2014	3	18	3:47	3	47	36
19-Mar-14	2014	3	19	13:30	13	30	0
19-Mar-14	2014	3	19	4:47	4	47	38
20-Mar-14	2014	3	20	14:30	14	30	0
20-Mar-14	2014	3	20	5:47	5	47	40
21-Mar-14	2014	3	21	15:30	15	30	0
21-Mar-14	2014	3	21	6:47	6	47	42
22-Mar-14	2014	3	22	16:30	16	30	0
22-Mar-14	2014	3	22	7:47	7	47	44
23-Mar-14	2014	3	23	17:30	17	30	0
23-Mar-14	2014	3	23	8:47	8	47	46
24-Mar-14	2014	3	24	18:30	18	30	0
24-Mar-14	2014	3	24	9:47	9	47	48
25-Mar-14	2014	3	25	19:30	19	30	0
25-Mar-14	2014	3	25	10:47	10	47	50
26-Mar-14	2014	3	26	20:30	20	30	0
26-Mar-14	2014	3	26	11:47	11	47	52
27-Mar-14	2014	3	27	21:30	21	30	0
27-Mar-14	2014	3	27	12:47	12	47	54
28-Mar-14	2014	3	28	22:30	22	30	0
28-Mar-14	2014	3	28	13:47	13	47	56
29-Mar-14	2014	3	29	23:30	23	30	0
29-Mar-14	2014	3	29	14:47	14	47	58
30-Mar-14	2014	3	30	0:30	0	30	0
30-Mar-14	2014	3	30	15:48	15	48	0
